model_name,batch_size,sequence_length,mode,total_params_millions,total_mean_gb,total_std_gb,forward_mean_gb,forward_std_gb,backward_mean_gb,backward_std_gb,peak_forward_mean_gb,peak_forward_std_gb,peak_backward_mean_gb,peak_backward_std_gb,memory_per_sample_gb,memory_per_token_gb,status
small1024,16,512,evaluation,106.6,41.129,0.000,41.129,0.000,0.000,0.000,41.363,0.521,0.000,0.000,2.571,0.005,success
small1024,32,512,evaluation,106.6,43.208,0.000,43.208,0.000,0.000,0.000,43.674,1.043,0.000,0.000,1.350,0.003,success
small1024,64,512,evaluation,106.6,46.936,0.000,46.936,0.000,0.000,0.000,47.865,2.085,0.000,0.000,0.733,0.001,success
small1024,128,512,evaluation,106.6,53.960,0.000,53.960,0.000,0.000,0.000,55.818,4.170,0.000,0.000,0.422,0.001,success
small1024,1,1024,evaluation,107.1,41.424,0.000,41.424,0.000,0.000,0.000,41.457,0.065,0.000,0.000,41.424,0.040,success
small1024,4,1024,evaluation,107.1,42.487,0.000,42.487,0.000,0.000,0.000,42.607,0.261,0.000,0.000,10.622,0.010,success
small1024,8,1024,evaluation,107.1,43.757,0.000,43.757,0.000,0.000,0.000,43.993,0.521,0.000,0.000,5.470,0.005,success
small1024,16,1024,evaluation,107.1,45.851,0.000,45.851,0.000,0.000,0.000,46.319,1.043,0.000,0.000,2.866,0.003,success
small1024,32,1024,evaluation,107.1,49.593,0.000,49.593,0.000,0.000,0.000,50.525,2.085,0.000,0.000,1.550,0.002,success
small1024,64,1024,evaluation,107.1,56.632,0.000,56.632,0.000,0.000,0.000,58.492,4.170,0.000,0.000,0.885,0.001,success
small1024,128,1024,evaluation,,,,,,,,,,,,,,out_of_memory
medium1024,1,128,training,160.8,44.662,0.000,44.651,0.032,0.036,0.032,44.686,0.008,44.781,0.032,44.662,0.349,success
medium1024,4,128,training,160.8,45.690,0.000,45.649,0.129,0.144,0.129,45.787,0.033,46.164,0.129,11.422,0.089,success
medium1024,8,128,training,160.8,46.846,0.000,46.764,0.259,0.288,0.259,47.040,0.065,47.794,0.259,5.856,0.046,success
medium1024,16,128,training,160.8,48.517,0.000,48.353,0.518,0.577,0.518,48.906,0.131,50.414,0.518,3.032,0.024,success
medium1024,32,128,training,160.8,51.208,0.000,50.881,1.036,1.152,1.036,51.984,0.261,54.998,1.036,1.600,0.013,success
medium1024,64,128,training,160.8,55.952,0.000,55.297,2.072,2.303,2.072,57.503,0.521,63.530,2.072,0.874,0.007,success
medium1024,128,128,training,160.8,64.795,0.000,63.485,4.143,4.607,4.143,67.897,1.043,79.951,4.143,0.506,0.004,success
medium1024,1,256,training,160.9,49.304,0.001,49.283,0.066,0.073,0.066,49.354,0.016,49.546,0.067,49.304,0.193,success
medium1024,4,256,training,160.9,50.713,0.000,50.631,0.259,0.288,0.259,50.908,0.065,51.661,0.259,12.678,0.050,success
medium1024,8,256,training,160.9,52.386,0.000,52.222,0.518,0.577,0.518,52.776,0.131,54.283,0.518,6.548,0.026,success
medium1024,16,256,training,160.9,55.079,0.000,54.752,1.036,1.152,1.036,55.856,0.261,58.869,1.036,3.442,0.013,success
medium1024,32,256,training,160.9,59.825,0.000,59.170,2.072,2.303,2.072,61.377,0.521,67.404,2.072,1.870,0.007,success
medium1024,64,256,training,,,,,,,,,,,,,,out_of_memory
medium1024,1,512,training,161.2,53.437,0.000,53.396,0.129,0.144,0.129,53.536,0.033,53.913,0.129,53.437,0.104,success
medium1024,4,512,training,161.2,55.630,0.000,55.466,0.518,0.577,0.518,56.021,0.131,57.528,0.518,13.907,0.027,success
medium1024,8,512,training,161.2,58.331,0.000,58.003,1.036,1.152,1.036,59.108,0.261,62.122,1.036,7.291,0.014,success
medium1024,16,512,training,161.2,63.084,0.000,62.429,2.072,2.303,2.072,64.637,0.521,70.664,2.072,3.943,0.008,success
medium1024,32,512,training,,,,,,,,,,,,,,out_of_memory
medium1024,1,1024,training,161.7,57.243,0.000,57.161,0.259,0.288,0.259,57.441,0.065,58.195,0.259,57.243,0.056,success
medium1024,4,1024,training,161.7,60.998,0.000,60.671,1.036,1.152,1.036,61.778,0.261,64.791,1.036,15.250,0.015,success
medium1024,8,1024,training,161.7,65.778,0.000,65.123,2.072,2.303,2.072,67.333,0.521,73.360,2.072,8.222,0.008,success
medium1024,16,1024,training,,,,,,,,,,,,,,out_of_memory
medium1024,1,128,evaluation,160.8,58.929,0.000,58.929,0.000,0.000,0.000,58.933,0.008,0.000,0.000,58.929,0.460,success
medium1024,4,128,evaluation,160.8,59.650,0.000,59.650,0.000,0.000,0.000,59.665,0.033,0.000,0.000,14.913,0.117,success
medium1024,8,128,evaluation,160.8,60.397,0.000,60.397,0.000,0.000,0.000,60.427,0.065,0.000,0.000,7.550,0.059,success
medium1024,16,128,evaluation,160.8,61.248,0.000,61.248,0.000,0.000,0.000,61.307,0.131,0.000,0.000,3.828,0.030,success
medium1024,32,128,evaluation,160.8,62.303,0.000,62.303,0.000,0.000,0.000,62.419,0.261,0.000,0.000,1.947,0.015,success
medium1024,64,128,evaluation,160.8,63.771,0.000,63.771,0.000,0.000,0.000,64.003,0.521,0.000,0.000,0.996,0.008,success
medium1024,128,128,evaluation,160.8,66.063,0.000,66.063,0.000,0.000,0.000,66.528,1.043,0.000,0.000,0.516,0.004,success
medium1024,1,256,evaluation,160.9,63.465,0.000,63.465,0.000,0.000,0.000,63.473,0.017,0.000,0.000,63.465,0.248,success
medium1024,4,256,evaluation,160.9,64.264,0.000,64.264,0.000,0.000,0.000,64.294,0.065,0.000,0.000,16.066,0.063,success
medium1024,8,256,evaluation,160.9,65.117,0.000,65.117,0.000,0.000,0.000,65.176,0.131,0.000,0.000,8.140,0.032,success
medium1024,16,256,evaluation,160.9,66.174,0.000,66.174,0.000,0.000,0.000,66.291,0.261,0.000,0.000,4.136,0.016,success
medium1024,32,256,evaluation,160.9,67.644,0.000,67.644,0.000,0.000,0.000,67.877,0.521,0.000,0.000,2.114,0.008,success
medium1024,64,256,evaluation,160.9,69.938,0.000,69.938,0.000,0.000,0.000,70.403,1.043,0.000,0.000,1.093,0.004,success
medium1024,128,256,evaluation,160.9,73.881,0.000,73.881,0.000,0.000,0.000,74.810,2.085,0.000,0.000,0.577,0.002,success
medium1024,1,512,evaluation,161.2,68.044,0.000,68.044,0.000,0.000,0.000,68.060,0.033,0.000,0.000,68.044,0.133,success
medium1024,4,512,evaluation,161.2,69.007,0.000,69.007,0.000,0.000,0.000,69.067,0.131,0.000,0.000,17.252,0.034,success
medium1024,8,512,evaluation,161.2,70.071,0.000,70.071,0.000,0.000,0.000,70.189,0.261,0.000,0.000,8.759,0.017,success
medium1024,16,512,evaluation,161.2,71.549,0.000,71.549,0.000,0.000,0.000,71.783,0.521,0.000,0.000,4.472,0.009,success
medium1024,32,512,evaluation,161.2,73.850,0.000,73.850,0.000,0.000,0.000,74.316,1.043,0.000,0.000,2.308,0.005,success
medium1024,64,512,evaluation,,,,,,,,,,,,,,out_of_memory
medium1024,1,1024,evaluation,161.7,72.093,0.000,72.093,0.000,0.000,0.000,72.126,0.065,0.000,0.000,72.093,0.070,success
medium1024,4,1024,evaluation,161.7,73.392,0.000,73.392,0.000,0.000,0.000,73.512,0.261,0.000,0.000,18.348,0.018,success
medium1024,8,1024,evaluation,161.7,74.897,0.000,74.897,0.000,0.000,0.000,75.133,0.521,0.000,0.000,9.362,0.009,success
medium1024,16,1024,evaluation,161.7,77.226,0.000,77.226,0.000,0.000,0.000,77.694,1.043,0.000,0.000,4.827,0.005,success
medium1024,32,1024,evaluation,,,,,,,,,,,,,,out_of_memory
medium2048,1,128,training,539.7,76.977,0.001,76.959,0.057,0.044,0.057,77.003,0.008,77.168,0.057,76.977,0.601,success
medium2048,4,128,training,539.7,79.749,0.000,79.677,0.226,0.175,0.226,79.851,0.033,80.501,0.226,19.937,0.156,success
medium2048,8,128,training,,,,,,,,,,,,,,out_of_memory
medium2048,1,256,training,,,,,,,,,,,,,,out_of_memory
medium2048,1,128,evaluation,,,,,,,,,,,,,,out_of_memory
