epoch,epoch_train_loss,epoch_val_loss,num_decay_params,num_nodecay_params,step,total_params,train_loss_epoch,train_loss_step,trainable_params,val_loss
11,,,,,879,,,4.271225452423096,,
11,,,,,884,,,4.420154571533203,,
11,,,,,889,,,4.400181770324707,,
11,,,,,894,,,4.473666667938232,,
11,,,,,899,,,4.400344371795654,,
11,,4.635173320770264,,,899,,,,,4.635394096374512
11,4.388918876647949,,,,899,,4.38879919052124,,,
12,,,,,904,,,4.3259453773498535,,
12,,,,,909,,,4.187309265136719,,
12,,,,,914,,,4.304292678833008,,
12,,,,,919,,,4.4250335693359375,,
12,,,,,924,,,4.242554187774658,,
12,,4.640222549438477,,,924,,,,,4.640011310577393
12,,,,,929,,,4.379261016845703,,
12,,,,,934,,,4.348207473754883,,
12,,,,,939,,,4.371497631072998,,
12,,,,,944,,,4.1807074546813965,,
12,,,,,949,,,4.401105880737305,,
12,,4.619831562042236,,,949,,,,,4.6223273277282715
12,,,,,954,,,4.381263732910156,,
12,,,,,959,,,4.461209774017334,,
12,,,,,964,,,4.410678863525391,,
12,,,,,969,,,4.415485858917236,,
12,,,,,974,,,4.346561431884766,,
12,,4.6251068115234375,,,974,,,,,4.626705646514893
12,4.326623916625977,,,,974,,4.326415061950684,,,
13,,,,,979,,,4.1487717628479,,
13,,,,,984,,,4.203169345855713,,
13,,,,,989,,,4.238715648651123,,
13,,,,,994,,,4.257888317108154,,
13,,,,,999,,,4.2362189292907715,,
13,,4.622981071472168,,,999,,,,,4.624533653259277
13,,,,,1004,,,4.349609851837158,,
13,,,,,1009,,,4.291228771209717,,
13,,,,,1014,,,4.215524673461914,,
13,,,,,1019,,,4.2858476638793945,,
13,,,,,1024,,,4.259639263153076,,
13,,4.613402843475342,,,1024,,,,,4.6134443283081055
13,,,,,1029,,,4.468240737915039,,
13,,,,,1034,,,4.236268043518066,,
13,,,,,1039,,,4.255558013916016,,
13,,,,,1044,,,4.23684024810791,,
13,,,,,1049,,,4.284165859222412,,
13,,4.598264217376709,,,1049,,,,,4.599333763122559
13,4.272560119628906,,,,1049,,4.2724385261535645,,,
14,,,,,1054,,,4.277292251586914,,
14,,,,,1059,,,4.127755165100098,,
14,,,,,1064,,,4.2751641273498535,,
14,,,,,1069,,,4.182704925537109,,
14,,,,,1074,,,4.112003326416016,,
14,,4.61196231842041,,,1074,,,,,4.612069129943848
14,,,,,1079,,,4.273191928863525,,
14,,,,,1084,,,4.116375923156738,,
14,,,,,1089,,,4.263258457183838,,
14,,,,,1094,,,4.241588115692139,,
14,,,,,1099,,,4.230106830596924,,
14,,4.594765663146973,,,1099,,,,,4.596405982971191
14,,,,,1104,,,4.274110317230225,,
